,timestamp,trip.tripId,trip.routeId,position.latitude,position.longitude,position.bearing,position.speed,vehicle.id,vehicle.licensePlate
0,1709049096,202402272248U54002WVG2342,U5400,2.98823,101.6749,320.0,13.0,WVG2342,WVG2342
1,1709049091,202402272304T79102CDH7756,T7910,3.10228,101.6638,,,CDH7756,CDH7756
2,1709049082,202402272332U58102WPX5493,U5810,3.068,101.7143,,,WPX5493,WPX5493
3,1709049090,202402272230U30002VFH8560,U3000,3.12086,101.7666,266.0,24.0,VFH8560,VFH8560
4,1709049085,202402272302U60001VGH3130,U6000,3.03996,101.6209,204.0,47.0,VGH3130,VGH3130
5,1709049081,202402272206U30302WVL617,U3030,3.13302,101.7888,178.0,17.0,WVL617,WVL617
6,1709049112,10003431_1000000431_233000_01,T1540,3.272048,101.51425,10.0,44.0,VG8650,VG8650
7,1709049081,202402272045T22202WVN5531,T2220,3.2012,101.7567,93.0,18.0,WVN5531,WVN5531
8,1709049079,202402272258U17301W4986V,U1730,3.26283,101.6782,63.0,,W4986V,W4986V
9,1709049078,202402272331T60402WPX4417,T6040,3.06002,101.6417,165.0,35.0,WPX4417,WPX4417
10,1709049062,202402272246T30102WVA3050,T3010,3.13155,101.7716,178.0,22.0,WVA3050,WVA3050
11,1709049078,202402272347U19002WVA4347,U1900,3.15128,101.6932,121.0,24.0,WVA4347,WVA4347
12,1709049059,202402272326U78201W1048S,U7820,3.08772,101.6533,238.0,17.0,W1048S,W1048S
13,1709049077,202402272324T50402WVF1329,T5040,2.91725,101.6478,346.0,48.0,WVF1329,WVF1329
14,1709049104,10016630_1000000387_233000_01,T5680,2.987222,101.72847,255.0,50.0,VH2055,VH2055
15,1709049076,202402272331T51002WVH6171,T5100,2.94317,101.6787,301.0,53.0,WVH6171,WVH6171
16,1709049098,10020292_1000000372_233000_01,T1800,3.186585,101.699814,162.0,,VG8715,VG8715
17,1709049099,10016798_1000000401_233000_01,T5600,3.064473,101.708565,179.0,27.0,VH2547,VH2547
18,1709049049,202402272321T85002WB3240T,T8500,3.14322,101.6622,119.0,14.0,WB3240T,WB3240T
19,1709049044,202402272212U64102WPX8153,U6410,3.073,101.5985,268.0,31.0,WPX8153,WPX8153
20,1709049055,10020210_1000000314_233000_01,T1060,3.197769,101.608086,,,VAG4880,VAG4880
21,1709049075,202402272330T79002PJL9527,T7900,3.11794,101.6486,115.0,52.0,PJL9527,PJL9527
22,1709049093,202402272326U78302WVD2353,U7830,3.08083,101.5843,236.0,20.0,WVD2353,WVD2353
23,1709049087,202402272335U59001WB863U,U5900,3.05538,101.7075,176.0,61.0,WB863U,WB863U
24,1709049110,10020758_1000000455_233000_01,T5050,2.920844,101.63301,55.0,28.0,VK2971,VK2971
25,1709049079,202402272230T30202WPY731,T3020,3.1498,101.7915,,,WPY731,WPY731
26,1709049110,10014114_1000000323_233000_01,T1150,3.198892,101.64389,293.0,13.0,VH4985,VH4985
27,1709049100,10015626_1000000245_233000_01,T4580,2.991526,101.79796,280.0,50.0,VH3750,VH3750
28,1709049099,10017089_1000000297_233000_01,T4080,3.089364,101.75108,234.0,33.0,VH3697,VH3697
29,1709049076,202402271425T78902WVE5708,T7890,3.10268,101.6642,85.0,25.0,WVE5708,WVE5708
30,1709049072,202402272346T58002WPX645,T5800,3.06188,101.6698,,,WPX645,WPX645
31,1709049072,202402272330T51102WVE4170,T5110,2.90063,101.6792,199.0,35.0,WVE4170,WVE4170
32,1709049098,202402272320T35002WVP2487,T3500,3.12897,101.7762,,,WVP2487,WVP2487
33,1709049092,202402272329U50601WB5780H,U5060,3.08533,101.6135,,,WB5780H,WB5780H
34,1709049079,10014998_1000000102_233000_01,T4090,3.092768,101.74003,162.0,58.0,VK6475,VK6475
35,1709049085,202402272143T77802CDH8332,T7780,3.01998,101.5793,271.0,24.0,CDH8332,CDH8332
36,1709049085,202402272329U25001PLQ2146,U2500,3.20242,101.7205,49.0,7.0,PLQ2146,PLQ2146
37,1709049084,202402272339T60302WPV4541,T6030,2.99995,101.5963,,,WPV4541,WPV4541
38,1709049084,202402271658U65102WPV6571,U6510,3.06192,101.6618,,,WPV6571,WPV6571
39,1709049083,202402271445T75302WUY4968,T7530,3.07038,101.5135,136.0,53.0,WUY4968,WUY4968
40,1709049080,202402271554T35102WVN5644,T3510,3.13822,101.7528,,,WVN5644,WVN5644
41,1709049076,202402272326U75101WVE5821,U7510,3.08892,101.6285,233.0,63.0,WVE5821,WVE5821
42,1709049110,10020761_1000000370_233000_01,T3520,3.122286,101.73795,300.0,5.0,VH4059,VH4059
43,1709049106,10017268_1000000335_233000_01,T8110,3.13393,101.61227,7.0,,VH4236,VH4236
44,1709049104,10020554_1000000382_233000_01,T5880,3.091911,101.68766,85.0,42.0,VK2852,VK2852
45,1709049071,202402272327T25102WVB3795,T2510,3.18808,101.7363,199.0,1.0,WVB3795,WVB3795
46,1709049071,202402272335U18001WVC4291,U1800,3.17893,101.6925,351.0,22.0,WVC4291,WVC4291
47,1709049102,10011338_1000000340_233000_01,T8190,3.152417,101.67286,241.0,44.0,VH4961,VH4961
48,1709049055,202402272325T50602CDH5972,T5060,2.90379,101.6375,162.0,45.0,CDH5972,CDH5972
49,1709049066,202402272332T50802PLA2966,T5080,2.95756,101.6772,244.0,34.0,PLA2966,PLA2966
50,1709049098,10019575_1000000420_233000_01,T4120,3.076957,101.74354,184.0,26.0,VM1907,VM1907
51,1709049070,202402272319U30202WUU6742,U3020,3.16698,101.7138,309.0,22.0,WUU6742,WUU6742
52,1709049096,202402272318U80101WVG5306,U8010,3.19463,101.619,173.0,59.0,WVG5306,WVG5306
53,1709049064,202402272150U40002WVE5025,U4000,3.04993,101.7405,42.0,27.0,WVE5025,WVE5025
54,1709049100,10020021_1000000385_233000_01,T5660,3.012535,101.69777,180.0,,VH2057,VH2057
55,1709049084,10020270_1000000293_233000_01,T1090,3.195433,101.62539,64.0,55.0,VAJ2850,VAJ2850
56,1709049093,202402272303U17002WUW1276,U1700,3.18987,101.691,353.0,33.0,WUW1276,WUW1276
57,1709049117,10019886_1000000292_233000_01,T1080,3.191535,101.63489,122.0,33.0,VAF694,VAF694
58,1709049092,202402272323U77201VFF9422,U7720,3.10214,101.6402,320.0,39.0,VFF9422,VFF9422
59,1709049091,202402272142U22002WUU6711,U2200,3.22828,101.7483,309.0,14.0,WUU6711,WUU6711
60,1709049081,202402272326U82102WVC4047,U8210,3.14545,101.6972,338.0,9.0,WVC4047,WVC4047
61,1709049089,202402272316U80102WVH1852,U8010,3.2002,101.6152,106.0,62.0,WVH1852,WVH1852
62,1709049089,202402272323T20101WVN5489,T2010,3.24958,101.6832,,,WVN5489,WVN5489
63,1709049077,202402272327U77001W7169Q,U7700,3.07981,101.6138,185.0,15.0,W7169Q,W7169Q
64,1709049077,202402271557T22302WVA2976,T2230,3.17554,101.736,347.0,,WVA2976,WVA2976
65,1709049077,202402272326T78302WB8474H,T7830,3.10962,101.6168,302.0,22.0,WB8474H,WB8474H
66,1709049073,202402272232U42002VEP2254,U4200,3.13141,101.7624,48.0,20.0,VEP2254,VEP2254
67,1709049096,202402272330T50902CDH5963,T5090,2.94252,101.7106,335.0,41.0,CDH5963,CDH5963
68,1709049107,10020408_1000000368_233000_01,T1010,3.212539,101.567894,213.0,25.0,VH4044,VH4044
69,1709049103,10013994_1000000402_233000_01,T5650,3.027298,101.71103,131.0,29.0,VK2607,VK2607
70,1709049067,202402272330U75001W9762Q,U7500,3.09938,101.636,202.0,70.0,W9762Q,W9762Q
71,1709049101,10019588_1000000108_233000_01,T4140,3.059061,101.76979,353.0,21.0,VK2906,VK2906
