,timestamp,trip.tripId,trip.routeId,position.latitude,position.longitude,position.bearing,vehicle.id,vehicle.licensePlate,position.speed
0,1709044954,30000026_1000000903_220500_01,601,5.420281,100.37513,200.0,PLP9144,PLP9144,
1,1709044954,30000014_1000000959_215500_01,304,5.387561,100.304214,328.0,PKY1273,PKY1273,37.0
2,1709044954,30000042_1000000933_221500_01,801,5.284972,100.47677,13.0,PLQ4374,PLQ4374,
3,1709044953,30000038_1000000921_220000_01,703,5.392918,100.38854,346.0,PJL9137,PJL9137,
4,1709044950,30000043_1000000934_220000_01,802,5.320726,100.45463,292.0,PLV3067,PLV3067,
5,1709044953,30000012_1000000889_223000_02,302,5.414348,100.3308,120.0,PLL7307,PLL7307,6.0
6,1709044964,30000020_1000000898_215000_01,401E,5.330367,100.30827,16.0,PLV2768,PLV2768,30.0
7,1709044952,30000014_1000000893_223500_02,304,5.432568,100.30939,92.0,PJG1015,PJG1015,37.0
8,1709044963,30000026_1000000902_223000_02,601,5.409881,100.370735,15.0,PLV4573,PLV4573,16.0
9,1709044952,30000018_1000000895_223000_02,308,5.338199,100.307816,105.0,PKX3428,PKX3428,41.0
10,1709044963,30000005_1000000659_222500_01,201,5.412838,100.31629,274.0,WUW9704,WUW9704,
11,1709044962,30000046_1000000930_223000_02,EB60,5.447319,100.410965,82.0,PLN6772,PLN6772,75.0
12,1709044962,30000010_1000000887_221500_02,301,5.399398,100.32108,220.0,PJH6068,PJH6068,14.0
13,1709044952,30000014_1000000959_223500_01,304,5.321907,100.282974,272.0,PKX3334,PKX3334,41.0
14,1709044962,30000013_1000000891_213500_02,303,5.31622,100.28194,105.0,PJH6059,PJH6059,
15,1709044959,30000037_1000000918_223000_02,702,5.413803,100.37753,76.0,PJK1443,PJK1443,40.0
16,1709044959,30000051_1000000759_224500_02,CAT,5.413744,100.341545,,PJJ4731,PJJ4731,
17,1709044951,30000045_1000000938_223000_02,EB80,5.375659,100.404495,117.0,PLP9114,PLP9114,9.0
18,1709044951,30000020_1000000899_220000_02,401E,5.332397,100.28639,257.0,PLA2935,PLA2935,38.0
19,1709044958,30000038_1000000920_223000_02,703,5.402273,100.384865,110.0,PJJ3342,PJJ3342,17.0
20,1709044949,30000042_1000000932_223000_02,801,5.396087,100.38791,167.0,PLX8502,PLX8502,46.0
21,1709044958,30000051_1000000759_223000_02,CAT,5.414251,100.32884,340.0,PJK2652,PJK2652,1.0
22,1709044948,30000009_1000000879_223000_01,206,5.380212,100.30253,269.0,PJJ3296,PJJ3296,36.0
23,1709044957,30000005_1000000806_204000_01,201,5.419067,100.34389,10.0,PJK1482,PJK1482,19.0
24,1709044945,30000089_1000000914_223000_02,613,5.420416,100.37511,21.0,PJF2887,PJF2887,51.0
25,1709044941,30000013_1000000890_223000_01,303,5.327185,100.28212,277.0,PLG2568,PLG2568,15.0
26,1709044957,30000041_1000000929_214500_01,709,5.374657,100.40292,131.0,PJG4327,PJG4327,48.0
27,1709044955,30000006_1000000954_220400_01,202,5.41351,100.314285,103.0,PLU3896,PLU3896,37.0
28,1709044955,30000050_1000000874_223000_02,13,5.391434,100.30657,5.0,PJG6845,PJG6845,19.0
29,1709044957,30000009_1000000880_223000_02,206,5.413535,100.32716,249.0,PJL9255,PJL9255,33.0
30,1709044955,30000012_1000000889_212000_02,302,5.301871,100.25988,88.0,PLQ2245,PLQ2245,36.0
31,1709044961,30000016_1000000035_223000_01,306,5.320781,100.285774,20.0,PLT2714,PLT2714,
32,1709044960,30000001_1000000956_220000_02,101,5.466083,100.286385,252.0,PKX3511,PKX3511,54.0
33,1709044960,30000020_1000000898_223000_01,401E,5.326062,100.22215,144.0,PLT2717,PLT2717,38.0
34,1709044958,30000019_1000000897_223000_02,401,5.414651,100.33046,233.0,PJH6028,PJH6028,3.0
35,1709044958,30000027_1000000904_223000_02,603,5.409412,100.37059,19.0,PJM153,PJM153,23.0
36,1709044958,30000043_1000000935_220000_02,802,5.226769,100.494286,151.0,PLW5998,PLW5998,41.0
37,1709044956,30000012_1000000888_223000_01,302,5.276407,100.26784,305.0,PLN3513,PLN3513,46.0
38,1709044956,30000046_1000000931_220500_01,EB60,5.452521,100.4192,179.0,PLP9059,PLP9059,63.0
39,1709044955,30000111_1000000884_223000_01,T502,5.351865,100.25471,283.0,PKX3499,PKX3499,25.0
40,1709044955,30000010_1000000886_223000_01,301,5.344449,100.296906,324.0,PJJ5169,PJJ5169,20.0
41,1709044953,30000001_1000000756_220000_01,101,5.430995,100.312416,138.0,PLA2957,PLA2957,37.0
42,1709044951,30000013_1000000891_223500_02,303,5.415138,100.33117,236.0,PJJ4738,PJJ4738,21.0
43,1709044950,30000020_1000000899_212000_02,401E,5.332448,100.21634,322.0,PLW2758,PLW2758,18.0
44,1709044950,30000002_1000000867_211500_01,102,5.354385,100.30839,219.0,PLA2847,PLA2847,
45,1709044949,30000042_1000000932_213000_02,801,5.187366,100.487854,208.0,PLW5931,PLW5931,
46,1709044949,30000006_1000000955_220000_02,202,5.410249,100.289856,216.0,PLW2781,PLW2781,20.0
47,1709044946,30000111_1000000883_223500_02,T502,5.351165,100.25492,187.0,PJL9130,PJL9130,44.0
48,1709044959,30000036_1000000916_223000_02,701,5.394222,100.38832,163.0,PLN4500,PLN4500,30.0
49,1709044961,30000006_1000000954_223000_01,202,5.392172,100.28535,354.0,CDH2348,CDH2348,
50,1709044960,30000019_1000000896_223500_01,401,5.296074,100.26387,69.0,PJH265,PJH265,55.0
51,1709044956,30000001_1000000756_223000_01,101,5.477773,100.27239,158.0,PLA2920,PLA2920,25.0
52,1709044946,30000016_1000000953_223500_02,306,5.401272,100.29083,192.0,PLT2675,PLT2675,
